Source,Target,year_of_mission,mission_title,ascend_shuttle,in_orbit,descend_shuttle
3,282,1998,STS-95,STS-95,STS-95,STS-95
3,316,1998,STS-95,STS-95,STS-95,STS-95
3,323,1998,STS-95,STS-95,STS-95,STS-95
3,365,1998,STS-95,STS-95,STS-95,STS-95
3,368,1998,STS-95,STS-95,STS-95,STS-95
3,385,1998,STS-95,STS-95,STS-95,STS-95
282,3,1998,STS-95,STS-95,STS-95,STS-95
282,316,1998,STS-95,STS-95,STS-95,STS-95
282,323,1998,STS-95,STS-95,STS-95,STS-95
282,365,1998,STS-95,STS-95,STS-95,STS-95
282,368,1998,STS-95,STS-95,STS-95,STS-95
282,385,1998,STS-95,STS-95,STS-95,STS-95
316,3,1998,STS-95,STS-95,STS-95,STS-95
316,282,1998,STS-95,STS-95,STS-95,STS-95
316,323,1998,STS-95,STS-95,STS-95,STS-95
316,365,1998,STS-95,STS-95,STS-95,STS-95
316,368,1998,STS-95,STS-95,STS-95,STS-95
316,385,1998,STS-95,STS-95,STS-95,STS-95
323,3,1998,STS-95,STS-95,STS-95,STS-95
323,282,1998,STS-95,STS-95,STS-95,STS-95
323,316,1998,STS-95,STS-95,STS-95,STS-95
323,365,1998,STS-95,STS-95,STS-95,STS-95
323,368,1998,STS-95,STS-95,STS-95,STS-95
323,385,1998,STS-95,STS-95,STS-95,STS-95
365,3,1998,STS-95,STS-95,STS-95,STS-95
365,282,1998,STS-95,STS-95,STS-95,STS-95
365,316,1998,STS-95,STS-95,STS-95,STS-95
365,323,1998,STS-95,STS-95,STS-95,STS-95
365,368,1998,STS-95,STS-95,STS-95,STS-95
365,385,1998,STS-95,STS-95,STS-95,STS-95
368,3,1998,STS-95,STS-95,STS-95,STS-95
368,282,1998,STS-95,STS-95,STS-95,STS-95
368,316,1998,STS-95,STS-95,STS-95,STS-95
368,323,1998,STS-95,STS-95,STS-95,STS-95
368,365,1998,STS-95,STS-95,STS-95,STS-95
368,385,1998,STS-95,STS-95,STS-95,STS-95
385,3,1998,STS-95,STS-95,STS-95,STS-95
385,282,1998,STS-95,STS-95,STS-95,STS-95
385,316,1998,STS-95,STS-95,STS-95,STS-95
385,323,1998,STS-95,STS-95,STS-95,STS-95
385,365,1998,STS-95,STS-95,STS-95,STS-95
385,368,1998,STS-95,STS-95,STS-95,STS-95
5,47,1970,Soyuz 9,Soyuz 9,Soyuz 9,Soyuz 9
47,5,1970,Soyuz 9,Soyuz 9,Soyuz 9,Soyuz 9
6,71,1974,Soyuz 14,Soyuz 14,Soyuz 14,Soyuz 14
71,6,1974,Soyuz 14,Soyuz 14,Salyut 3,Soyuz 14
7,30,1968,Apollo 7,Apollo 7,Apollo 7,Apollo 7
7,31,1968,Apollo 7,Apollo 7,Apollo 7,Apollo 7
30,7,1968,Apollo 7,Apollo 7,Apollo 7,Apollo 7
30,31,1968,Apollo 7,Apollo 7,Apollo 7,Apollo 7
31,7,1968,Apollo 7,Apollo 7,Apollo 7,Apollo 7
31,30,1968,Apollo 7,Apollo 7,Apollo 7,Apollo 7
8,20,1965,Gemini 5,Gemini 5,Gemini 5,Gemini 5
20,8,1965,Gemini 5,Gemini 5,Gemini 5,Gemini 5
9,79,1976,Soyuz 22,Soyuz 22,Soyuz 22,Soyuz 22
79,9,1976,Soyuz 22,Soyuz 22,Soyuz 22,Soyuz 22
11,12,1964,Voskhod 1,Voskhod 1,Voskhod 1,Voskhod 1
11,13,1964,Voskhod 1,Voskhod 1,Voskhod 1,Voskhod 1
12,11,1964,Voskhod 1,Voskhod 1,Voskhod 1,Voskhod 1
12,13,1964,Voskhod 1,Voskhod 1,Voskhod 1,Voskhod 1
13,11,1964,Voskhod 1,Voskhod 1,Voskhod 1,Voskhod 1
13,12,1964,Voskhod 1,Voskhod 1,Voskhod 1,Voskhod 1
14,15,1965,Voskhod 2,Voskhod 2,Voskhod 2,Voskhod 2
15,14,1965,Voskhod 2,Voskhod 2,Voskhod 2,Voskhod 2
15,40,1975,Soyuz 19,Soyuz 19,Soyuz 19/Apollo,Soyuz 19
40,15,1975,Soyuz 19,Soyuz 19,Soyuz 19/Apollo,Soyuz 19
16,17,1965,Gemini 3,Gemini 3,Gemini 3,Gemini 3
17,16,1965,Gemini 3,Gemini 3,Gemini 3,Gemini 3
17,27,1966,Gemini 10,Gemini 10,Gemini 10,Gemini 10
27,17,1966,Gemini 10,Gemini 10,Gemini 10,Gemini 10
17,23,1969,Apollo 10,Apollo 10,Apollo 10,Apollo 10
17,26,1969,Apollo 10,Apollo 10,Apollo 10,Apollo 10
23,17,1969,Apollo 10,Apollo 10,Apollo 10,Apollo 10
23,26,1969,Apollo 10,Apollo 10,Apollo 10,Apollo 10
26,17,1969,Apollo 10,Apollo 10,Apollo 10,Apollo 10
26,23,1969,Apollo 10,Apollo 10,Apollo 10,Apollo 10
17,56,1972,Apollo 16,Apollo 16,Apollo 16,Apollo 16
17,57,1972,Apollo 16,Apollo 16,Apollo 16,Apollo 16
56,17,1972,Apollo 16,Apollo 16,Apollo 16,Apollo 16
56,57,1972,Apollo 16,Apollo 16,Apollo 16,Apollo 16
57,17,1972,Apollo 16,Apollo 16,Apollo 16,Apollo 16
57,56,1972,Apollo 16,Apollo 16,Apollo 16,Apollo 16
17,102,1981,STS-1,STS-1,STS-1,STS-1
102,17,1981,STS-1,STS-1,STS-1,STS-1
17,63,1983,STS-9,STS-9,STS-9,STS-9
17,128,1983,STS-9,STS-9,STS-9,STS-9
17,129,1983,STS-9,STS-9,STS-9,STS-9
17,131,1983,STS-9,STS-9,STS-9,STS-9
63,17,1983,STS-9,STS-9,STS-9,STS-9
63,128,1983,STS-9,STS-9,STS-9,STS-9
63,129,1983,STS-9,STS-9,STS-9,STS-9
63,131,1983,STS-9,STS-9,STS-9,STS-9
128,17,1983,STS-9,STS-9,STS-9,STS-9
128,63,1983,STS-9,STS-9,STS-9,STS-9
128,129,1983,STS-9,STS-9,STS-9,STS-9
128,131,1983,STS-9,STS-9,STS-9,STS-9
129,17,1983,STS-9,STS-9,STS-9,STS-9
129,63,1983,STS-9,STS-9,STS-9,STS-9
129,128,1983,STS-9,STS-9,STS-9,STS-9
129,131,1983,STS-9,STS-9,STS-9,STS-9
131,17,1983,STS-9,STS-9,STS-9,STS-9
131,63,1983,STS-9,STS-9,STS-9,STS-9
131,128,1983,STS-9,STS-9,STS-9,STS-9
131,129,1983,STS-9,STS-9,STS-9,STS-9
18,19,1965,Gemini 4,Gemini 4,Gemini 4,Gemini 4
19,18,1965,Gemini 4,Gemini 4,Gemini 4,Gemini 4
18,25,1969,Apollo 9,Apollo 9,Apollo 9,Apollo 9
25,18,1969,Apollo 9,Apollo 9,Apollo 9,Apollo 9
20,28,1966,Gemini 11,Gemini 11,Gemini 11,Gemini 11
28,20,1966,Gemini 11,Gemini 11,Gemini 11,Gemini 11
20,28,1969,Apollo 12,Apollo 12,Apollo 12,Apollo 12
20,44,1969,Apollo 12,Apollo 12,Apollo 12,Apollo 12
28,20,1969,Apollo 12,Apollo 12,Apollo 12,Apollo 12
28,44,1969,Apollo 12,Apollo 12,Apollo 12,Apollo 12
44,20,1969,Apollo 12,Apollo 12,Apollo 12,Apollo 12
44,28,1969,Apollo 12,Apollo 12,Apollo 12,Apollo 12
20,61,1973,Skylab 2,Skylab 2,Skylab 2,Skylab 2
61,20,1973,Skylab 2,Apollo Sk.2,Apollo Sk.2,Apollo Sk.2
21,22,1965,Gemini 7,Gemini 7,Gemini 7,Gemini 7
22,21,1965,Gemini 7,Gemini 7,Gemini 7,Gemini 7
21,22,1968,Apollo 8,Apollo 8,Apollo 8,Apollo 8
21,33,1968,Apollo 8,Apollo 8,Apollo 8,Apollo 8
22,21,1968,Apollo 8,Apollo 8,Apollo 8,Apollo 8
22,33,1968,Apollo 8,Apollo 8,Apollo 8,Apollo 8
33,21,1968,Apollo 8,Apollo 8,Apollo 8,Apollo 8
33,22,1968,Apollo 8,Apollo 8,Apollo 8,Apollo 8
22,29,1966,Gemini 12,Gemini 12,Gemini 12,Gemini 12
29,22,1966,Gemini 12,Gemini 12,Gemini 12,Gemini 12
22,45,1970,Apollo 13,Apollo 13,Apollo 13,Apollo 13
22,46,1970,Apollo 13,Apollo 13,Apollo 13,Apollo 13
45,22,1970,Apollo 13,Apollo 13,Apollo 13,Apollo 13
45,46,1970,Apollo 13,Apollo 13,Apollo 13,Apollo 13
46,22,1970,Apollo 13,Apollo 13,Apollo 13,Apollo 13
46,45,1970,Apollo 13,Apollo 13,Apollo 13,Apollo 13
23,26,1966,Gemini 9A,Gemini 9A,Gemini 9A,Gemini 9A
26,23,1966,Gemini 9A,Gemini 9A,Gemini 9A,Gemini 9A
23,76,1975,ASTP,ASTP,ASTP,ASTP
23,77,1975,ASTP,ASTP,ASTP,ASTP
76,23,1975,ASTP,ASTP,ASTP,ASTP
76,77,1975,ASTP,ASTP,ASTP,ASTP
77,23,1975,ASTP,ASTP,ASTP,ASTP
77,76,1975,ASTP,ASTP,ASTP,ASTP
24,25,1966,Gemini 8,Gemini 8,Gemini 8,Gemini 8
25,24,1966,Gemini 8,Gemini 8,Gemini 8,Gemini 8
24,27,1969,Apollo 11,Apollo 11,Apollo 11,Apollo 11
24,29,1969,Apollo 11,Apollo 11,Apollo 11,Apollo 11
27,24,1969,Apollo 11,Apollo 11,Apollo 11,Apollo 11
27,29,1969,Apollo 11,Apollo 11,Apollo 11,Apollo 11
29,24,1969,Apollo 11,Apollo 11,Apollo 11,Apollo 11
29,27,1969,Apollo 11,Apollo 11,Apollo 11,Apollo 11
25,54,1971,Apollo 15,Apollo 15,Apollo 15,Apollo 15
25,55,1971,Apollo 15,Apollo 15,Apollo 15,Apollo 15
54,25,1971,Apollo 15,Apollo 15,Apollo 15,Apollo 15
54,55,1971,Apollo 15,Apollo 15,Apollo 15,Apollo 15
55,25,1971,Apollo 15,Apollo 15,Apollo 15,Apollo 15
55,54,1971,Apollo 15,Apollo 15,Apollo 15,Apollo 15
26,58,1972,Apollo 17,Apollo 17,Apollo 17,Apollo 17
26,59,1972,Apollo 17,Apollo 17,Apollo 17,Apollo 17
58,26,1972,Apollo 17,Apollo 17,Apollo 17,Apollo 17
58,59,1972,Apollo 17,Apollo 17,Apollo 17,Apollo 17
59,26,1972,Apollo 17,Apollo 17,Apollo 17,Apollo 17
59,58,1972,Apollo 17,Apollo 17,Apollo 17,Apollo 17
100,107,1985,Salyut 7,Soyuz Tï¿½ï,Salyut 7,Soyuz Tï¿½ï
100,108,1985,Salyut 7,Soyuz Tï¿½ï,Salyut 7,Soyuz Tï¿½ï
100,110,1985,Salyut 7,Soyuz Tï¿½ï,Salyut 7,Soyuz Tï¿½ï
100,70,1985,Salyut 7,Soyuz Tï¿½ï,Salyut 7,Soyuz Tï¿½ï
100,86,1985,Salyut 7,Soyuz Tï¿½ï,Salyut 7,Soyuz Tï¿½ï
100,86,1985,Salyut 7,Soyuz Tï¿½ï,Salyut 7,Soyuz Tï¿½ï
100,86,1985,Salyut 7,Soyuz Tï¿½ï,Salyut 7,Soyuz Tï¿½ï
100,88,1985,Salyut 7,Soyuz Tï¿½ï,Salyut 7,Soyuz Tï¿½ï
100,91,1985,Salyut 7,Soyuz Tï¿½ï,Salyut 7,Soyuz Tï¿½ï
100,93,1985,Salyut 7,Soyuz Tï¿½ï,Salyut 7,Soyuz Tï¿½ï
100,95,1985,Salyut 7,Soyuz Tï¿½ï,Salyut 7,Soyuz Tï¿½ï
100,95,1985,Salyut 7,Soyuz Tï¿½ï,Salyut 7,Soyuz Tï¿½ï
100,98,1985,Salyut 7,Soyuz Tï¿½ï,Salyut 7,Soyuz Tï¿½ï
100,99,1985,Salyut 7,Soyuz Tï¿½ï,Salyut 7,Soyuz Tï¿½ï
100,111,1985,Salyut 7,Soyuz Tï¿½ï,Salyut 7,Soyuz Tï¿½ï
100,111,1985,Salyut 7,Soyuz Tï¿½ï,Salyut 7,Soyuz Tï¿½ï
100,123,1985,Salyut 7,Soyuz Tï¿½ï,Salyut 7,Soyuz Tï¿½ï
100,136,1985,Salyut 7,Soyuz Tï¿½ï,Salyut 7,Soyuz Tï¿½ï
100,137,1985,Salyut 7,Soyuz Tï¿½ï,Salyut 7,Soyuz Tï¿½ï
100,138,1985,Salyut 7,Soyuz Tï¿½ï,Salyut 7,Soyuz Tï¿½ï
100,143,1985,Salyut 7,Soyuz Tï¿½ï,Salyut 7,Soyuz Tï¿½ï
100,182,1985,Salyut 7,Soyuz Tï¿½ï,Salyut 7,Soyuz Tï¿½ï
100,183,1985,Salyut 7,Soyuz Tï¿½ï,Salyut 7,Soyuz Tï¿½ï
107,100,1982,Salyut 7,Soyuz Tï¿½,Salyut 7,Soyuz Tï¿½
