Id,Label,sex,nationality,occupation,year_of_birth,military_civilian,year_of_selection,total_number_of_missions
1,"Gagarin, Yuri",male,U.S.S.R/Russia,pilot,1934,military,1960,1
2,"Titov, Gherman",male,U.S.S.R/Russia,pilot,1935,military,1960,1
3,"Glenn, John H., Jr.",male,U.S.,pilot,1921,military,1959,2
4,"Carpenter, M. Scott",male,U.S.,Pilot,1925,military,1959,1
5,"Nikolayev, Andriyan",male,U.S.S.R/Russia,pilot,1929,military,1960,2
6,"Popovich, Pavel",male,U.S.S.R/Russia,pilot,1930,military,1960,2
7,"Schirra, Walter M., Jr.",male,U.S.,pilot,1923,military,1959,3
8,"Cooper, L. Gordon, Jr.",male,U.S.,pilot,1927,military,1959,2
9,"Bykovsky, Valery",male,U.S.S.R/Russia,pilot,1934,military,1960,3
10,"Tereshkova, Valentina",female,U.S.S.R/Russia,pilot,1937,military,1962,1
11,"Komarov, Vladimir",male,U.S.S.R/Russia,commander,1927,military,1960,2
12,"Feoktistov, Konstantin",male,U.S.S.R/Russia,MSP,1926,civilian,1964,1
13,"Yegorov, Boris",male,U.S.S.R/Russia,MSP,1937,civilian,1964,1
14,"Belyayev, Pavel",male,U.S.S.R/Russia,commander,1925,military,1960,1
15,"Leonov, Aleksei",male,U.S.S.R/Russia,pilot,1934,military,1960,2
16,"Grissom, Virgil I.",male,U.S.,commander,1926,military,1959,1
17,"Young, John W.",male,U.S.,pilot,1930,military,1962,6
18,"McDivitt, James A.",male,U.S.,commander,1929,military,1962,2
19,"White, Edward H., II",male,U.S.,pilot,1930,military,1962,1
20,"Conrad, Charles, Jr.",male,U.S.,pilot,1930,military,1962,4
21,"Borman, Frank",male,U.S.,commander,1928,military,1962,2
22,"Lovell, James A., Jr.",male,U.S.,pilot,1928,military,1962,4
23,"Stafford, Thomas P.",male,U.S.,pilot,1930,military,1962,4
24,"Armstrong, Neil A.",male,U.S.,commander,1930,civilian,1962,2
25,"Scott, David R.",male,U.S.,pilot,1932,military,1963,3
26,"Cernan, Eugene A.",male,U.S.,pilot,1934,military,1963,3
27,"Collins, Michael",male,U.S.,pilot,1930,civilian,1963,2
28,"Gordon, Richard F., Jr.",male,U.S.,pilot,1929,military,1963,2
29,"Aldrin, Edwin Eugene, Jr.",male,U.S.,pilot,1930,military,1963,2
30,"Eisele, Donn F.",male,U.S.,pilot,1930,military,1963,1
31,"Cunningham, Ronnie Walter",male,U.S.,pilot,1932,civilian,1963,1
100,"Savinykh, Viktor",male,U.S.S.R/Russia,flight engineer,1940,civilian,1978,3
101,Jugderdemidiin Gurragchaa,male,Mongolia,flight engineer,1947,civilian,1978,1
102,"Crippen, Robert L.",male,U.S.,pilot,1937,military,1969,4
103,Dumitru Prunariu,male,Romania,MSP,1952,civilian,1978,1
